cd_cvm,nome,denom_social,denom_comerc,setor,setor_cvm,categ_reg,tp_merc,sit_emissor,sit_cvm,gov_listagem_default,cnpj,ticker_b3,controle_acionario,mun,uf,dt_const,dt_reg,auditor
26123,ONCOCLÍNICAS,ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.,,Saude,Serviços Médicos,Categoria A,,FASE OPERACIONAL,ATIVO,2.0,12.104.241/0004-02,,PRIVADO,SÃO PAULO,SP,2010,2021,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.
16438,OPPORTUNITY SUL,SUL 116 PARTICIPAÇÕES S.A.,OPPORTUNITY SUL S.A.,Comunicacao,Emp. Adm. Part. - Telecomunicações,Categoria A,BALCÃO ORGANIZADO,FASE OPERACIONAL,ATIVO,2.0,01.957.772/0001-89,,PRIVADO HOLDING,RIO DE JANEIRO,RJ,1997,1997,RSM BRASIL AUDITORES INDEPENDENTES LTDA.
27910,ORANJEBTC - EDUCAÇÃO E INVESTIMENTO,ORANJEBTC S.A. - EDUCAÇÃO E INVESTIMENTO,ORANJEBTC S.A. - EDUCAÇÃO E INVESTIMENTO,Consumo Disc.,Educação,Categoria A,,FASE OPERACIONAL,ATIVO,2.0,59.693.110/0001-29,,PRIVADO,SÃO PAULO,SP,2025,2025,RBORDIGNON AUDITORES INDEPENDENTES SOCIEDADE SIMPLES LTDA
27227,ORIGEM ENERGIA,ORIGEM ENERGIA S.A.,ORIGEM ENERGIA S.A.,Energia,Petróleo e Gás,Categoria A,,FASE OPERACIONAL,ATIVO,2.0,32.021.201/0001-61,,PRIVADO,RIO DE JANEIRO,RJ,2018,2023,ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.
27049,ORIZON,ORIZON MEIO AMBIENTE S.A.,ORIZON MEIO AMBIENTE S.A.,Utilities,"Saneamento, Serv. Água e Gás",Categoria B,,FASE OPERACIONAL,ATIVO,2.0,03.279.285/0001-30,,PRIVADO,SÃO PAULO,SP,1999,2022,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
25550,ORIZON RESÍDUOS,ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.,ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.,Utilities,"Saneamento, Serv. Água e Gás",Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,11.421.994/0001-36,ORVR3,PRIVADO,SÃO PAULO,SP,2009,2021,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
21342,OSX (RJ),OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL,OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL,Industria,Emp. Adm. Part. - Sem Setor Principal,Categoria A,BOLSA,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE,ATIVO,3.0,09.112.685/0001-32,OSXB3,PRIVADO HOLDING,RIO DE JANEIRO,RJ,2007,2008,RSM BRASIL AUDITORES INDEPENDENTES LTDA.
23507,OUROFINO,OUROFINO S.A.,,Consumo Disc.,Comércio (Atacado e Varejo),Categoria A,BOLSA,FASE OPERACIONAL,ATIVO,3.0,20.258.278/0001-70,OFSA3,PRIVADO,CRAVINHOS,SP,2014,2014,KPMG AUDITORES INDEPENDENTES LTDA.
27901,OZN HEALTH SPE,OZN HEALTH SPE S.A.,OZN HEALTH SPE S.A.,Saude,Serviços Médicos,Categoria B,,FASE OPERACIONAL,ATIVO,2.0,18.080.368/0001-72,,PRIVADO,MANAUS,AM,2013,2025,DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.
25143,PACAEMBU,PACAEMBU CONSTRUTORA S.A.,PACAEMBU CONSTRUTORA S.A.,Imobiliario,"Construção Civil, Mat. Constr. e Decoração",Categoria A,,FASE OPERACIONAL,ATIVO,2.0,96.298.013/0001-68,,PRIVADO,BAURU,SP,1993,2020,KPMG AUDITORES INDEPENDENTES LTDA.
